SRR11948576	SRR11948577	SRR11948578	SRR11948579	SRR11948580	SRR11948581	SRR11948582	SRR11948583	SRR11948584	SRR11948585	SRR11948586	SRR11948587	SRR11948588	SRR11948589
ASV.468	0	0	0	0	0	0	0	26	0	0	0	0	0	0
ASV.469	0	0	0	0	0	0	0	0	0	26	0	0	0	0
ASV.479	0	0	0	0	0	0	25	0	0	0	0	0	0	0
ASV.481	0	0	0	0	0	0	0	0	25	0	0	0	0	0
ASV.482	0	0	0	0	0	0	0	0	0	25	0	0	0	0
ASV.484	0	0	0	0	0	0	0	0	0	0	0	0	0	25
ASV.486	0	24	0	0	0	0	0	0	0	0	0	0	0	0
ASV.489	0	0	0	0	0	24	0	0	0	0	0	0	0	0
ASV.490	0	0	0	0	0	24	0	0	0	0	0	0	0	0
ASV.491	0	0	0	0	0	0	24	0	0	0	0	0	0	0
ASV.495	0	0	0	0	0	0	0	0	0	24	0	0	0	0
ASV.497	16	0	0	0	0	0	0	0	7	0	0	0	0	0
ASV.499	16	0	0	0	0	0	0	0	0	0	7	0	0	0
ASV.500	0	0	0	23	0	0	0	0	0	0	0	0	0	0
ASV.505	0	0	0	0	0	23	0	0	0	0	0	0	0	0
ASV.506	0	0	0	0	0	23	0	0	0	0	0	0	0	0
ASV.507	0	0	0	0	0	23	0	0	0	0	0	0	0	0
ASV.508	0	0	0	0	0	0	0	23	0	0	0	0	0	0
ASV.509	0	0	0	0	0	0	0	23	0	0	0	0	0	0
ASV.510	0	0	0	0	0	0	0	0	0	23	0	0	0	0
ASV.514	22	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.520	0	0	0	0	0	0	0	22	0	0	0	0	0	0
ASV.521	0	0	0	0	0	0	0	22	0	0	0	0	0	0
ASV.522	0	0	0	0	0	0	0	22	0	0	0	0	0	0
ASV.523	0	0	0	0	0	0	0	0	22	0	0	0	0	0
ASV.524	0	0	0	0	0	0	0	0	22	0	0	0	0	0
ASV.525	0	0	0	0	0	0	0	0	0	22	0	0	0	0
ASV.526	0	0	0	0	0	0	0	0	0	22	0	0	0	0
ASV.529	0	0	0	0	0	0	0	0	0	0	0	0	0	22
ASV.534	0	0	0	0	0	21	0	0	0	0	0	0	0	0
ASV.535	0	0	0	0	0	0	0	0	21	0	0	0	0	0
ASV.539	4	0	0	0	0	0	0	0	16	0	0	0	0	0
ASV.543	0	0	0	0	0	20	0	0	0	0	0	0	0	0
ASV.544	0	0	0	0	0	20	0	0	0	0	0	0	0	0
ASV.545	0	0	0	0	0	0	0	20	0	0	0	0	0	0
ASV.546	0	0	0	0	0	0	0	20	0	0	0	0	0	0
ASV.547	0	0	0	0	0	0	0	0	20	0	0	0	0	0
ASV.548	0	0	0	0	0	0	0	0	20	0	0	0	0	0
ASV.550	0	0	0	0	0	0	0	0	20	0	0	0	0	0
ASV.553	19	0	0	0	0	0	0	0	0	0	0	0	0	0
